pr_number,created_at,hours_to_review
6863,2025-06-02 11:07:21,0.45
6860,2025-05-30 06:45:53,172.46
6859,2025-05-29 11:52:49,0.08
6858,2025-05-29 11:49:49,261.82
6857,2025-05-29 11:33:42,24.49
6856,2025-05-28 21:32:05,376.76
6855,2025-05-28 16:15:08,1.03
6854,2025-05-28 11:40:38,650.8
6853,2025-05-28 09:48:52,4176.97
6852,2025-05-28 09:45:34,21.09
6851,2025-05-28 09:02:19,2035.55
6850,2025-05-27 19:55:41,13.33
6849,2025-05-27 19:42:50,12.39
6848,2025-05-27 14:55:22,142.75
6847,2025-05-27 14:18:41,0.0
6846,2025-05-27 12:19:31,22.26
6845,2025-05-27 10:56:52,23.62
6844,2025-05-27 06:37:35,0.38
6843,2025-05-26 17:57:08,10.79
6842,2025-05-24 05:29:15,224.09
6841,2025-05-23 15:25:53,1088.76
6840,2025-05-23 15:16:44,86.36
6839,2025-05-23 15:14:49,1088.95
6838,2025-05-23 15:01:55,1089.17
6837,2025-05-22 15:59:21,0.06
6836,2025-05-22 15:55:39,0.02
6835,2025-05-22 14:59:44,0.19
6834,2025-05-22 13:13:54,0.64
6833,2025-05-22 09:21:26,142.38
6831,2025-05-22 07:43:31,152.25
6830,2025-05-21 18:07:28,20.54
6829,2025-05-21 17:09:38,0.41
6828,2025-05-20 22:42:31,15.04
6827,2025-05-20 12:54:10,0.76
6826,2025-05-20 12:07:11,20.65
6825,2025-05-20 10:05:26,1.79
6824,2025-05-20 09:37:47,5.54
6823,2025-05-20 02:01:20,7.82
6822,2025-05-19 16:41:54,19.15
6821,2025-05-19 14:40:47,0.39
6820,2025-05-19 07:52:07,5.32
6819,2025-05-19 07:46:41,0.06
6818,2025-05-19 06:50:53,0.49
6817,2025-05-16 07:55:30,1488.88
6816,2025-05-15 14:23:27,0.1
6815,2025-05-15 11:59:25,0.01
6814,2025-05-15 09:57:58,2.49
6813,2025-05-15 06:47:55,321.21
6812,2025-05-15 05:35:29,99.66
6811,2025-05-14 18:38:04,1.68
6810,2025-05-14 18:34:41,0.04
6809,2025-05-14 17:01:15,117.59
6808,2025-05-14 15:46:41,328.65
6807,2025-05-14 15:17:11,0.66
6806,2025-05-14 14:05:55,1306.1
6805,2025-05-14 11:26:42,23.13
6802,2025-05-14 09:58:56,5.18
6801,2025-05-14 08:51:43,3.64
6800,2025-05-14 08:39:44,0.34
6799,2025-05-14 07:15:19,2.53
6798,2025-05-13 18:24:50,0.28
6797,2025-05-13 10:17:53,171.72
6796,2025-05-13 09:34:40,0.0
6794,2025-05-13 07:18:02,1.76
6793,2025-05-13 06:44:43,6.17
6790,2025-05-12 13:01:34,0.47
6789,2025-05-12 11:43:32,0.05
6788,2025-05-12 11:42:22,0.05
6787,2025-05-12 10:20:22,17.97
6786,2025-05-12 09:12:23,0.0
6780,2025-05-12 07:39:15,74.91
6779,2025-05-12 07:26:50,0.3
6778,2025-05-12 06:37:43,0.19
6776,2025-05-11 06:24:17,106.25
6775,2025-05-09 19:35:09,61.09
6774,2025-05-09 16:28:49,739.1
6773,2025-05-09 15:45:42,0.58
6772,2025-05-09 13:20:40,0.0
6771,2025-05-09 12:53:24,0.01
6770,2025-05-09 12:52:40,0.03
6769,2025-05-09 11:48:40,114.74
6768,2025-05-09 10:40:11,1.24
6766,2025-05-09 09:12:27,117.29
6765,2025-05-09 08:11:07,6.72
6764,2025-05-09 07:01:36,74.75
6763,2025-05-09 06:38:33,755.25
6762,2025-05-09 03:38:34,157.01
6761,2025-05-09 02:41:33,76.17
6760,2025-05-08 16:48:17,15.47
6759,2025-05-08 10:17:09,23.77
6758,2025-05-07 18:33:16,470.57
6757,2025-05-07 07:27:30,1.52
6756,2025-05-07 06:55:08,345.66
6755,2025-05-06 13:26:52,64.45
6754,2025-05-06 13:02:50,173.08
6753,2025-05-06 10:36:42,175.73
6752,2025-05-06 09:57:05,197.22
6751,2025-05-06 09:56:31,67.98
6750,2025-05-06 07:46:17,0.05
6749,2025-05-05 22:14:40,1.21
6748,2025-05-05 20:39:21,547.37
6747,2025-05-05 18:40:28,0.17
6746,2025-05-05 18:19:22,0.28
6745,2025-05-05 16:13:28,37.06
6743,2025-05-02 08:38:04,173.65
6742,2025-05-02 06:11:58,74.61
6741,2025-05-02 05:21:57,12.74
6740,2025-05-02 05:20:49,12.75
6739,2025-04-30 19:27:53,0.14
6738,2025-04-30 10:39:28,0.8
6737,2025-04-30 09:55:01,166.89
6736,2025-04-30 04:16:35,1.72
6735,2025-04-29 18:36:12,470.28
6734,2025-04-29 17:46:42,15.52
6733,2025-04-29 16:16:21,27.12
6732,2025-04-29 10:34:58,236.03
6731,2025-04-29 10:24:13,22.86
6730,2025-04-28 18:35:56,492.51
6729,2025-04-28 17:53:15,11.43
6728,2025-04-28 11:24:01,0.85
6727,2025-04-25 17:53:01,564.98
6726,2025-04-25 10:06:00,480.52
6725,2025-04-25 05:20:22,2.45
6724,2025-04-25 05:17:27,94.72
6723,2025-04-24 22:21:21,139.42
6722,2025-04-24 12:06:40,120.3
6721,2025-04-23 16:55:09,0.29
6720,2025-04-23 11:09:48,529.54
6719,2025-04-22 20:40:30,190.63
6718,2025-04-22 19:45:19,8.02
6717,2025-04-22 19:40:13,8.12
6716,2025-04-22 19:18:51,8.54
6715,2025-04-22 10:41:13,143.19
6714,2025-04-22 08:36:18,48.8
6713,2025-04-21 07:47:40,2122.63
6711,2025-04-18 07:13:37,175.99
6710,2025-04-17 16:29:35,0.04
6709,2025-04-17 15:36:47,0.64
6708,2025-04-17 05:38:09,95.98
6707,2025-04-17 05:33:04,7.07
6706,2025-04-16 20:33:55,1971.64
6705,2025-04-16 19:34:23,12.99
6704,2025-04-16 19:12:11,810.41
6703,2025-04-16 17:11:13,0.2
6702,2025-04-16 15:25:52,1.61
6701,2025-04-16 14:24:06,0.82
6700,2025-04-16 04:44:11,2159.08
6699,2025-04-15 16:37:08,14.77
6698,2025-04-15 13:26:30,17.99
6697,2025-04-15 12:49:58,0.15
6696,2025-04-15 12:21:04,2003.85
6695,2025-04-14 15:24:01,17.77
6694,2025-04-14 07:01:38,31.68
6693,2025-04-14 06:55:04,25.06
6692,2025-04-10 13:20:46,1.03
6691,2025-04-10 11:01:09,165.01
6690,2025-04-09 12:21:46,0.95
6689,2025-04-09 08:06:29,633.87
6688,2025-04-09 04:51:19,122.26
6687,2025-04-08 10:01:40,1.51
6686,2025-04-08 09:17:09,0.02
6685,2025-04-07 18:16:37,369.61
6684,2025-04-07 15:28:53,16.14
6683,2025-04-07 15:13:36,16.33
6682,2025-04-07 12:49:45,0.16
6681,2025-04-07 12:25:48,357.35
6680,2025-04-04 18:28:55,65.72
6679,2025-04-04 14:40:41,760.03
6678,2025-04-03 20:08:50,17.15
6677,2025-04-03 18:56:48,0.2
6676,2025-04-03 16:08:51,111.09
6675,2025-04-03 15:25:14,303.82
6674,2025-04-03 14:50:13,0.21
6673,2025-04-03 03:51:03,15.64
6672,2025-04-02 22:01:05,18.78
6669,2025-04-02 14:24:30,141.3
6667,2025-04-02 10:18:40,0.15
6666,2025-04-01 20:10:07,858.76
6665,2025-04-01 20:06:53,1216.96
6664,2025-04-01 15:01:38,16.66
6663,2025-04-01 06:26:11,538.48
6662,2025-03-31 18:04:18,39.25
6661,2025-03-31 17:31:46,187.14
6660,2025-03-31 16:17:21,26.73
6659,2025-03-31 16:09:55,767.43
6658,2025-03-31 15:19:51,0.27
6657,2025-03-31 13:14:35,26.25
6656,2025-03-31 11:30:01,1.68
6655,2025-03-31 10:08:06,3.03
6654,2025-03-31 09:09:23,0.16
6653,2025-03-31 09:00:16,81.84
6652,2025-03-28 19:25:09,69.5
6651,2025-03-28 18:11:15,60.84
6650,2025-03-28 13:50:45,1.76
6649,2025-03-28 08:28:39,72.29
6648,2025-03-27 15:13:18,0.06
6647,2025-03-26 20:29:02,108.2
6646,2025-03-26 09:44:31,124.94
6645,2025-03-26 00:34:41,198.87
6644,2025-03-25 13:29:31,50.06
6643,2025-03-24 20:44:04,19.44
6642,2025-03-24 20:38:03,204.49
6641,2025-03-24 14:15:25,0.05
6640,2025-03-22 14:40:25,137.77
6639,2025-03-21 20:50:58,276.45
6638,2025-03-21 20:37:36,775.92
6637,2025-03-21 20:14:12,276.93
6636,2025-03-21 19:53:07,277.48
6635,2025-03-21 19:26:26,94.03
6634,2025-03-21 17:59:37,0.28
6633,2025-03-21 15:08:42,0.31
6632,2025-03-21 14:41:24,0.09
6631,2025-03-21 09:07:30,910.26
6630,2025-03-20 13:57:45,23.55
6629,2025-03-20 11:22:55,0.15
6628,2025-03-19 21:38:08,43.55
6627,2025-03-19 17:46:38,327.41
6626,2025-03-19 17:36:38,142.61
6625,2025-03-19 17:29:32,327.71
6624,2025-03-19 17:18:48,327.92
6623,2025-03-19 16:28:09,0.34
6622,2025-03-19 16:13:30,144.01
6621,2025-03-19 16:01:00,0.37
6620,2025-03-19 15:34:18,144.67
6619,2025-03-19 12:32:14,0.04
6618,2025-03-19 12:24:46,291.72
6617,2025-03-19 11:00:37,122.15
6616,2025-03-19 10:21:07,76.2
6615,2025-03-19 06:32:29,960.88
6614,2025-03-18 22:35:46,208.41
6613,2025-03-18 20:23:03,307.35
6612,2025-03-18 18:31:41,1164.29
6611,2025-03-18 03:41:28,31.83
6609,2025-03-14 07:06:51,1080.32
6608,2025-03-13 12:13:00,0.71
6607,2025-03-13 08:00:28,0.8
6606,2025-03-12 17:59:28,357.01
6605,2025-03-12 15:12:22,17.56
6604,2025-03-12 14:52:04,114.91
6603,2025-03-11 19:23:02,379.64
6602,2025-03-11 17:11:01,2.03
6601,2025-03-11 16:21:52,0.58
6600,2025-03-11 12:11:46,482.98
6599,2025-03-11 07:33:20,23.55
6598,2025-03-11 06:39:22,2.31
6597,2025-03-10 02:34:06,7.3
6596,2025-03-10 02:27:27,201.17
6595,2025-03-07 20:57:26,59.56
6594,2025-03-07 20:08:32,497.17
6593,2025-03-07 16:02:22,94.96
6592,2025-03-07 15:14:32,139.42
6591,2025-03-07 09:57:58,0.15
6590,2025-03-07 05:42:49,1982.52
6589,2025-03-07 05:26:30,1518.1
6588,2025-03-06 06:07:57,3121.82
6587,2025-03-05 14:36:23,18.34
6586,2025-03-05 12:37:26,0.08
6585,2025-03-05 08:23:16,0.12
6584,2025-03-05 08:12:50,0.1
6583,2025-03-04 20:05:57,139.77
6582,2025-03-04 19:18:29,0.93
6581,2025-03-04 14:23:06,4.61
6580,2025-03-04 13:59:25,193.63
6579,2025-03-04 11:55:47,44.12
6578,2025-03-04 11:33:10,196.06
6577,2025-03-04 11:21:41,0.01
6576,2025-03-04 06:47:21,170.18
6575,2025-03-04 04:51:29,14.15
6573,2025-03-03 16:04:48,15.14
6572,2025-02-28 17:39:07,0.28
6571,2025-02-28 17:14:03,0.32
6570,2025-02-28 16:39:30,0.11
6569,2025-02-28 14:00:47,2.54
6568,2025-02-28 08:39:30,1.05
6567,2025-02-28 07:26:09,2.54
6566,2025-02-27 22:31:41,13.14
6565,2025-02-27 22:08:52,13.27
6564,2025-02-27 21:04:37,14.36
6563,2025-02-27 20:48:01,14.83
6562,2025-02-27 19:45:49,92.14
6561,2025-02-27 19:26:42,10.76
6560,2025-02-27 19:06:39,13.39
6559,2025-02-27 18:47:11,11.78
6558,2025-02-27 18:18:56,88.63
6557,2025-02-27 17:34:43,0.55
6556,2025-02-27 14:42:41,167.0
6555,2025-02-27 10:33:52,6.9
6554,2025-02-27 09:53:37,7.57
6553,2025-02-26 21:19:36,0.23
6552,2025-02-26 18:16:15,1.43
6551,2025-02-26 10:52:28,45.03
6550,2025-02-26 08:10:36,2.02
6549,2025-02-25 21:54:50,1360.18
6548,2025-02-25 21:28:08,1360.65
6547,2025-02-25 20:30:21,139.33
6546,2025-02-25 14:08:55,1.69
6545,2025-02-25 13:49:06,0.64
6544,2025-02-25 10:31:59,0.08
6543,2025-02-25 08:38:35,150.03
6542,2025-02-24 16:03:41,0.47
6541,2025-02-24 15:47:33,0.12
6540,2025-02-24 11:42:50,93.95
6539,2025-02-24 09:50:25,5.5
6538,2025-02-24 09:17:11,0.02
6537,2025-02-24 09:16:08,0.0
6536,2025-02-24 08:59:21,0.12
6535,2025-02-21 19:57:58,60.69
6534,2025-02-21 19:30:40,61.27
6533,2025-02-21 14:24:27,0.3
6532,2025-02-21 10:50:53,288.3
6531,2025-02-20 21:56:14,257.27
6530,2025-02-20 21:15:28,257.91
6529,2025-02-20 19:18:14,256.71
6528,2025-02-20 18:48:49,114.12
6527,2025-02-20 17:45:38,0.81
6526,2025-02-20 15:47:08,0.43
6525,2025-02-20 15:31:41,0.07
6524,2025-02-20 06:27:08,8.61
6523,2025-02-20 06:00:24,9.23
6522,2025-02-20 05:34:31,1473.12
6521,2025-02-19 18:13:13,1196.94
6520,2025-02-19 17:27:07,0.99
6519,2025-02-19 16:13:06,42.46
6518,2025-02-19 15:37:49,0.95
6517,2025-02-19 13:38:50,25.3
6516,2025-02-19 10:41:20,51.25
6515,2025-02-19 10:24:37,51.54
6514,2025-02-19 09:19:09,0.93
6513,2025-02-18 21:31:15,187.16
6512,2025-02-18 18:09:41,42.41
6511,2025-02-18 17:40:28,0.78
6510,2025-02-18 16:28:24,46.49
6509,2025-02-18 16:08:34,0.22
6508,2025-02-18 15:51:18,0.21
6507,2025-02-18 13:34:57,0.13
6506,2025-02-18 10:13:53,142.69
6505,2025-02-17 22:03:02,215.21
6504,2025-02-17 15:59:05,93.98
6503,2025-02-17 10:42:11,52.34
6502,2025-02-15 18:52:33,0.73
6501,2025-02-15 12:08:31,6.33
6500,2025-02-14 19:01:31,17.14
6499,2025-02-14 18:33:44,61.19
6498,2025-02-14 17:46:58,61.95
6497,2025-02-14 17:35:35,62.12
6496,2025-02-14 15:34:17,404.12
6495,2025-02-13 23:23:00,160.13
6494,2025-02-13 19:17:01,0.19
6493,2025-02-13 16:19:52,0.81
6492,2025-02-13 16:04:31,0.12
6491,2025-02-13 13:58:49,0.5
6490,2025-02-13 13:16:16,102.68
6489,2025-02-13 12:05:53,3.78
6488,2025-02-13 10:29:44,450.22
6487,2025-02-13 09:37:00,4.73
6486,2025-02-13 08:42:39,5.63
6485,2025-02-13 06:56:58,7.38
6484,2025-02-13 06:14:17,9.18
6483,2025-02-13 06:07:28,14.65
6482,2025-02-12 11:15:52,0.14
6481,2025-02-12 09:57:52,0.33
6480,2025-02-11 20:52:26,35.64
6479,2025-02-11 20:46:54,10.43
6478,2025-02-11 13:16:35,0.71
6477,2025-02-11 09:19:42,3.86
6476,2025-02-10 11:33:37,243.44
6475,2025-02-07 16:18:05,927.55
6474,2025-02-06 20:21:58,6.71
6473,2025-02-06 19:31:21,7.53
6472,2025-02-06 19:01:51,157.19
6471,2025-02-06 11:34:48,286.81
6470,2025-02-06 06:27:39,698.65
6469,2025-02-05 17:53:14,0.81
6468,2025-02-05 13:43:46,1.12
6467,2025-02-05 07:54:45,146.09
6465,2025-02-04 18:13:11,17.66
6464,2025-02-04 16:15:48,18.93
6463,2025-02-04 06:21:30,5.43
6462,2025-02-03 16:17:13,49.21
6461,2025-02-03 15:05:05,1.2
6460,2025-02-03 11:21:38,71.29
6459,2025-01-31 22:07:14,148.99
6458,2025-01-31 21:33:42,58.78
6457,2025-01-31 21:26:37,58.87
6456,2025-01-31 21:16:04,59.27
6455,2025-01-31 20:42:13,59.47
6454,2025-01-31 17:51:24,1270.34
6453,2025-01-31 17:42:13,62.7
6452,2025-01-31 17:26:52,1.17
6451,2025-01-31 09:39:58,0.39
6450,2025-01-31 08:55:52,1.02
6449,2025-01-31 06:30:41,71.27
6448,2025-01-31 04:32:42,95.25
6447,2025-01-30 20:58:56,329.53
6446,2025-01-30 20:15:17,0.27
6445,2025-01-30 09:34:11,101.41
6444,2025-01-30 09:10:01,92.65
6443,2025-01-30 03:43:09,28.92
6442,2025-01-29 16:03:42,17.01
6441,2025-01-29 15:58:56,0.12
6440,2025-01-29 12:35:02,3.81
6439,2025-01-29 12:18:15,0.67
6438,2025-01-29 12:11:51,475.85
6437,2025-01-29 11:05:59,0.38
6436,2025-01-29 08:54:36,0.5
6435,2025-01-29 08:11:20,0.87
6434,2025-01-28 14:22:42,1.99
6433,2025-01-27 15:37:11,1.07
6432,2025-01-27 12:30:15,0.77
6431,2025-01-27 12:14:09,3.22
6430,2025-01-25 00:11:05,754.34
6429,2025-01-24 12:38:35,1.21
6428,2025-01-24 12:08:13,0.0
6427,2025-01-24 10:59:45,0.74
6426,2025-01-23 18:12:59,18.2
6425,2025-01-23 16:38:28,135.8
6424,2025-01-23 10:56:12,94.52
6423,2025-01-22 06:07:14,171.58
6422,2025-01-21 17:55:45,835.0
6421,2025-01-21 15:08:14,0.9
6420,2025-01-21 14:46:06,1.27
6419,2025-01-21 09:16:57,0.53
6416,2025-01-20 09:00:24,0.45
6415,2025-01-17 22:08:43,2652.79
6414,2025-01-17 19:42:49,0.33
6413,2025-01-17 11:10:21,0.06
6412,2025-01-16 06:28:46,3.47
6411,2025-01-15 13:20:51,28.54
6410,2025-01-15 12:03:46,1.89
6409,2025-01-15 04:43:21,7.14
6408,2025-01-14 18:03:14,0.19
6407,2025-01-14 17:24:42,144.77
6406,2025-01-14 16:33:52,0.77
6405,2025-01-14 15:42:43,390.4
6404,2025-01-14 10:46:14,5.37
6403,2025-01-14 06:09:17,0.08
6402,2025-01-13 17:07:24,48.05
6401,2025-01-10 20:54:39,83.99
6400,2025-01-10 20:38:57,327.78
6399,2025-01-10 20:30:46,327.91
6398,2025-01-10 20:18:26,328.13
6397,2025-01-10 20:05:01,2464.6
6396,2025-01-10 19:38:31,82.1
6395,2025-01-09 18:29:37,0.87
6394,2025-01-09 14:43:46,1.83
6393,2025-01-09 10:32:57,814.88
6392,2025-01-09 10:32:33,295.11
6391,2025-01-08 21:49:41,16.68
6390,2025-01-08 13:11:53,27.09
6389,2025-01-08 09:29:53,0.01
6388,2025-01-07 23:54:35,17.06
6387,2025-01-07 21:15:06,17.14
6386,2025-01-07 13:27:02,19.56
6385,2025-01-07 09:50:47,4.42
6384,2025-01-06 13:56:42,0.93
6383,2025-01-06 13:43:58,2.62
6381,2025-01-02 15:49:14,0.22
6380,2025-01-02 09:57:15,5.51
6379,2024-12-30 22:27:53,0.42
6378,2024-12-30 21:31:48,0.91
6377,2024-12-30 17:12:12,12.44
6371,2024-12-23 20:45:09,0.42
6370,2024-12-23 17:11:31,3.47
6369,2024-12-23 16:55:41,3.76
6368,2024-12-23 16:28:36,4.22
6367,2024-12-23 15:07:43,5.56
6366,2024-12-19 19:07:33,477.31
6365,2024-12-19 16:15:50,1.82
6364,2024-12-19 11:56:25,1.06
6363,2024-12-18 18:48:05,881.65
6362,2024-12-18 17:59:27,47.41
6361,2024-12-18 17:46:02,47.58
6360,2024-12-18 17:32:05,16.2
6359,2024-12-18 17:16:02,0.3
6358,2024-12-18 14:17:58,1.77
6356,2024-12-18 11:42:55,534.39
6354,2024-12-17 15:24:16,0.35
6353,2024-12-17 11:34:54,5.33
6352,2024-12-17 08:42:34,5.96
6351,2024-12-12 22:20:25,111.43
6350,2024-12-12 18:30:19,142.28
6349,2024-12-12 18:30:14,0.18
6348,2024-12-12 16:54:11,0.62
6347,2024-12-12 16:12:18,0.76
6346,2024-12-12 11:32:19,598.23
6345,2024-12-12 03:50:51,785.01
6344,2024-12-11 17:21:46,16.08
6343,2024-12-11 04:44:49,228.12
6342,2024-12-10 23:05:55,42.91
6341,2024-12-10 16:40:14,45.06
6340,2024-12-10 15:59:44,215.81
6339,2024-12-10 13:18:04,0.49
6338,2024-12-10 10:53:59,0.03
6337,2024-12-10 10:37:39,1.23
6336,2024-12-10 04:48:52,1031.88
6335,2024-12-09 22:12:07,259.09
6334,2024-12-09 21:22:32,0.23
6333,2024-12-09 21:04:06,7.26
6332,2024-12-09 20:46:02,7.61
6331,2024-12-09 20:24:27,7.98
6330,2024-12-09 16:33:22,4.3
6329,2024-12-09 14:51:25,3257.42
6328,2024-12-09 12:44:26,23.13
6327,2024-12-09 06:56:28,3.0
6326,2024-12-05 20:14:58,0.31
6325,2024-12-05 18:43:28,0.87
6324,2024-12-05 11:52:11,98.04
6323,2024-12-05 09:28:45,797.2
6322,2024-12-05 01:10:37,17.16
6321,2024-12-04 02:26:01,1999.18
6320,2024-12-03 16:56:04,47.8
6319,2024-12-03 14:03:49,19.48
6318,2024-12-03 10:38:37,48.6
6317,2024-12-02 16:01:46,16.99
6316,2024-12-02 15:15:12,0.44
6315,2024-12-02 07:02:35,7.65
6314,2024-11-28 15:26:04,0.59
6313,2024-11-28 07:39:55,7.6
6312,2024-11-27 22:09:18,13.27
6311,2024-11-27 15:11:50,0.67
6310,2024-11-27 15:00:34,0.1
6309,2024-11-27 14:07:47,119.1
6308,2024-11-27 10:26:42,360.03
6307,2024-11-27 09:47:54,0.31
6306,2024-11-27 09:44:33,120.09
6305,2024-11-26 13:16:24,0.54
6304,2024-11-26 13:07:12,0.06
6303,2024-11-26 11:59:15,0.05
6302,2024-11-26 11:06:48,0.57
6301,2024-11-26 09:51:22,0.35
6300,2024-11-25 21:53:31,13.08
6299,2024-11-25 21:17:41,17.67
6298,2024-11-25 21:14:19,234.15
6297,2024-11-25 20:42:04,203.85
6296,2024-11-25 20:14:14,204.12
6295,2024-11-25 20:06:54,204.23
6294,2024-11-25 17:23:40,0.38
6293,2024-11-25 15:29:52,0.55
6292,2024-11-25 12:54:55,358.99
6291,2024-11-25 11:40:32,1.07
6290,2024-11-25 09:04:59,240.49
6289,2024-11-25 06:33:18,0.36
6288,2024-11-25 05:00:36,1.87
6287,2024-11-23 21:19:43,0.64
6286,2024-11-22 15:43:18,2.13
6285,2024-11-22 14:07:02,1.5
6284,2024-11-22 13:44:45,1.62
6283,2024-11-22 11:36:04,0.35
